"Date","Time","TT","Species.","X.","Comments.Observations"
"2-Mar-03",1645,"snake trap","Nerodia fasciata",1,""
"5-Mar-03",1400,"snake trap","Thamnophis sauritus",1,""
"5-Mar-03",1730,"snake trap","Agkistrodon piscivorus",1,""
"6-Mar-03",1045,"snake trap","Agkistrodon piscivorus",1,""
"6-Mar-03",1045,"snake trap","Agkistrodon piscivorus",1,""
"10-Mar-03",1030,"snake trap","Nerodia fasciata",1,""
"10-Mar-03",1715,"snake trap","Agkistrodon piscivorus",1,""
"12-Mar-03",730,"snake trap","Nerodia fasciata",1,""
"13-Mar-03",1645,"snake trap","Agkistrodon piscivorus",1,""
"13-Mar-03",1645,"snake trap","Agkistrodon piscivorus",1,""
"14-Mar-03",950,"snake trap","Crotalus horridus",1,""
"14-Mar-03",950,"snake trap","Agkistrodon piscivorus",2,""
"19-Mar-03",1100,"snake trap","Agkistrodon piscivorus",1,""
"19-Mar-03",1100,"snake trap","Agkistrodon piscivorus",2,""
"20-Mar-03",1130,"snake trap","Agkistrodon piscivorus",1,""
"20-Mar-03",1800,"snake trap","Agkistrodon piscivorus",1,""
"21-Mar-03",1620,"bucket","Agkistrodon piscivorus",1,""
"21-Mar-03",1620,"snake trap","Agkistrodon piscivorus",1,""
"23-Mar-03",1210,"snake trap","Farancia erytrogramma",1,"YEAH!"
"25-Mar-03",1045,"bucket","Agkistrodon piscivorus",1,""
"25-Mar-03",1545,"snake trap","Agkistrodon piscivorus",1,""
"25-Mar-03",1045,"snake trap","Nerodia erythrogaster",1,""
"25-Mar-03",1045,"snake trap","Coluber constrictor",1,""
"26-Mar-03",1045,"snake trap","Coluber constrictor",1,""
"26-Mar-03",1610,"snake trap","Coluber constrictor",1,""
"27-Mar-03",1730,"snake trap","Agkistrodon piscivorus",1,""
"27-Mar-03",1730,"snake trap","Coluber constrictor",1,""
"28-Mar-03",1015,"snake trap","Coluber constrictor",1,""
"28-Mar-03",1625,"snake trap","Coluber constrictor",1,""
"29-Mar-03",800,"bucket","Farancia erytrogramma",1,""
"29-Mar-03",800,"snake trap","Farancia erytrogramma",1,""
"29-Mar-03",1730,"snake trap","Agkistrodon piscivorus",1,""
"29-Mar-03",1730,"snake trap","Coluber constrictor",1,""
"29-Mar-03",1730,"snake trap","Coluber constrictor",1,""
"29-Mar-03",1730,"snake trap","Coluber constrictor",2,"BIT MY FACE"
"30-Mar-03",1030,"snake trap","Agkistrodon piscivorus",1,""
"1-Apr-03",1230,"snake trap","Nerodia fasciata",1,""
"3-Apr-03",1730,"snake trap","Nerodia fasciata",1,""
"3-Apr-03",1730,"snake trap","Heterodon platirhinos",1,"MELANISTIC, PRETTY"
"5-Apr-03",1700,"bucket","Agkistrodon piscivorus",1,"HEAD IN BUCKET"
"6-Apr-03",1800,"snake trap","Heterodon platirhinos",1,""
"6-Apr-03",1800,"snake trap","Agkistrodon piscivorus",1,""
"13-Apr-03",1900,"snake trap","Agkistrodon piscivorus",1,""
"14-Apr-03",1634,"coffee can","Coluber constrictor",1,"COMING OUT OF C"
"15-Apr-03",915,"bucket","Nerodia floridana",1,""
"15-Apr-03",915,"snake trap","Farancia abacura",1,""
"15-Apr-03",1730,"snake trap","Coluber constrictor",1,""
"15-Apr-03",1730,"snake trap","Coluber constrictor",1,""
"16-Apr-03",1630,"snake trap","Coluber constrictor",2,""
"17-Apr-03",915,"snake trap","Farancia erytrogramma",1,""
"17-Apr-03",1720,"snake trap","Agkistrodon piscivorus",1,""
"17-Apr-03",915,"snake trap","Thamnophis sirtalis",1,""
"17-Apr-03",1720,"snake trap","Coluber constrictor",1,""
"18-Apr-03",1115,"bucket","Thamnophis sirtalis",1,""
"18-Apr-03",1115,"snake trap","Coluber constrictor",1,""
"19-Apr-03",900,"snake trap","Diadophis punctatus",1,""
"21-Apr-03",1700,"snake trap","Thamnophis sirtalis",1,""
"21-Apr-03",1700,"snake trap","Coluber constrictor",1,""
"22-Apr-03",1700,"snake trap","Coluber constrictor",1,"COVERED IN MAGGETS"
"24-Apr-03",1714,"snake trap","Coluber constrictor",1,""
"24-Apr-03",1714,"snake trap","Coluber constrictor",1,""
"26-Apr-03",1715,"snake trap","Coluber constrictor",1,""
"26-Apr-03",1715,"snake trap","Coluber constrictor",1,""
"26-Apr-03",1715,"snake trap","Coluber constrictor",1,""
"26-Apr-03",1715,"snake trap","Coluber constrictor",1,""
"27-Apr-03",945,"snake trap","Nerodia erythrogaster",1,""
"27-Apr-03",1710,"snake trap","Coluber constrictor",1,""
"27-Apr-03",1710,"snake trap","Coluber constrictor",1,""
"28-Apr-03",940,"snake trap","Agkistrodon piscivorus",1,"JUV"
"28-Apr-03",1745,"snake trap","Coluber constrictor",1,""
"30-Apr-03",1045,"snake trap","Nerodia erythrogaster",1,""
"30-Apr-03",1900,"snake trap","Coluber constrictor",1,""
"1-May-03",1715,"bucket","Coluber constrictor",1,""
"2-May-03",1050,"snake trap","Coluber constrictor",1,""
"3-May-03",930,"snake trap","Agkistrodon contortrix",1,""
"3-May-03",930,"snake trap","Farancia abacura",1,""
"3-May-03",1800,"snake trap","Nerodia erythrogaster",1,""
"4-May-03",1700,"bucket","Coluber constrictor",1,"JUVENILE"
"4-May-03",1700,"snake trap","Farancia abacura",1,""
"4-May-03",1700,"snake trap","Coluber constrictor",1,""
"4-May-03",1700,"snake trap","Coluber constrictor",1,""
"6-May-03",850,"bucket","Seminatrix pygaea",1,""
"6-May-03",850,"snake trap","Coluber constrictor",1,"BEAT UP"
"7-May-03",1520,"snake trap","Coluber constrictor",1,""
"8-May-03",850,"snake trap","Nerodia fasciata",1,""
"8-May-03",850,"snake trap","Coluber constrictor",1,""
"8-May-03",1735,"snake trap","Coluber constrictor",2,"NEITHER MRKD"
"9-May-03",815,"snake trap","Coluber constrictor",2,""
"9-May-03",1545,"snake trap","Coluber constrictor",1,""
"10-May-03",624,"snake trap","Agkistrodon piscivorus",1,""
